课	
3-4	丁汉生：江山，你不是喜欢看球赛吗？快来，电视正在转播呢。 江山：乒乓球比赛有什么好看的？ 丁汉生：那你爱看什么球？ 江山：当然是篮球了，NBA！ 丁汉生：那你最喜欢……？ 江山：原来是芝加哥公牛队，现在是华盛顿奇才队。 丁汉生：我说的不是球队，是球星。你最喜欢哪个球星？ 江山：乔丹。当然，他现在好像真的老了。 丁汉生：还有呢？ 江山：奥尼尔，你们中国的王治郅也不错。 丁汉生：看来你真是个篮球迷。 江山：那当然。我从小就迷上了篮球，只要有篮球比赛，我就看。 丁汉生：难道普通的篮球比赛，比如说两个大学的球队比赛，你也看吗？ 江山：看。不管什么水平的篮球比赛，只要看得到，我都看。 丁汉生：我真不明白，你为什么那么喜欢篮球？ 江山：这有什么不明白的？篮球是美国人最喜欢的运动，又是在美国发明的，我能不喜欢吗？ 丁汉生：可我听说，篮球是加拿大人詹姆斯・奈史密斯发明的。 江山：但是他发明篮球的时候，正在美国留学。他发明篮球是为了完成体育课的作业。 丁汉生：原来是这样。难怪你这么喜欢篮球。
3-4	好久没有和江山联系了，挺想他的。 他是我的好朋友，以前他老是请我跟他一起去玩儿，我从来没有去过，所以他很生气。可我有什么办法？ 如果没有特别的原因，谁愿意拒绝朋友呢？但是，就像中国人经常说的那样，“萝卜青菜，各有所爱”。我们的爱好不一样，玩儿不到一起去。 江山很喜欢打篮球，可是，我太矮，上了球场恐怕连球都摸不到；江山还很喜欢打冰球、滑雪，可我从小在中国南方长大，连雪的样子都没见过，怎么可能会滑雪、打冰球呢？ 当然，有时候我请他跟我一起去玩儿，他也不去，因为我喜欢的运动他不喜欢。比如说乒乓球，他就老是说没意思。我不明白，乒乓球不也是球吗，怎么没有意思？ 我们偶尔也会一起去玩儿：有时候去游泳，有时候去踢足球。不过，他的足球没有我踢得好。
3-5	丁汉生：你在干什么呀？ 马克：收拾行李。明天我要去中国。你看，毛巾、牙膏、卫生纸。……东西太多了，两个包都装不了。 丁汉生：如果这些东西你都要带，四个包也装不了。 马克：你这话是什么意思？ 丁汉生：有的东西你带了也用不着，有的你根本就不用帯。 马克：那你说应该带些什么？ 丁汉生：这要看你准备去哪儿了。 马克：北京、上海是肯定要去的。 丁汉生：那你就什么也不要带，那儿什么都有。 马克：毛巾之类的日用品也不用带吗？ 丁汉生：不用。在中国一些大城市的宾馆、饭店里，牙刷、牙膏这些东西都有，而且有的还是名牌。 马克：真的？那太好了。 丁汉生：不过，如果你要去经济还不发达的地方，那你最好什么都带上。 马克：什么都要带上？连卫生纸也要带吗？ 丁汉生：什么都要带，当然包括卫生纸。除非你不想用。不过，这些东西你都可以到中国以后再买。 马克：在中国买东西方便吗？ 丁汉生：很方便。特别是在北京、上海这样一些大城市，大商场、大超市有的是，什么东西都买得到。不过，药你最好自己带上。 马克：你不说我差点儿忘了，我的药呢？刚才还在桌子上，怎么找不着了？ 丁汉生：那不是吗？
3-5	林娜总是说北京多么多么漂亮。也许是她离开家乡的时间太长，很想念自己的父母和朋友，所以一定要回去看一看。没办法，我只好陪她走一趟。 当然啦，自从我学了汉语，认识了林娜以后，也真的想去看看那个神奇的国家。于是，我们买了机票，登上了飞往北京的飞机。 北京的确很不错。故宫、天坛都非常漂亮，当然还有长城。中国有一句话，叫“不到长城非好汉”，我和林娜一起站在长城上，真的有一种好汉的感觉。那种感觉，恐怕我一辈子都忘不了。 不过，说实话，我更喜欢西安，因为我觉得那儿是真正的中国。如果你想了解中国的历史，那么你一定要去西安。不过那儿的气候我有点受不了。 上海是个很特妹的城市，我实在不知道它像纽约还是像多伦多。也许它更像欧洲的一个什么城市，也许，它哪个城市也不像，它就是它自己。不过，上海的马路没有北京和西安那么直，我经常找不着北。
3-6	平平： 你好！ 我来加拿大已经四五月了。去了几个城市，感觉有很多方面和咱们中国不一样，很想和你聊聊。但是电话费太贵了，又不能发电子邮件，因为我这儿的电脑还没装中文软件。只好给你写信——你知道，我很久没写信了。 最明显的感觉是加拿大的环境特别好，空气十分新鲜。这里的大树非常多，如果在咱们那儿，很多都会被当做宝贝。 加拿大的树虽然比中国多，但是人比中国少多了。你可能不相信，加拿大的面积比中国还大一点儿，可是全加拿大总共只有三千多万人，大概是中国的四十分之一，其中还有百分之三左右是华裔。温哥华是加拿大第三大城市，人口只有二百多万，其中大约百分之二十是华裔。 刚来的时候，我去一些大超市、大商店看了看，没有咱们中国那种人山人海的景象。有时候只有十来个人。我真为那些老板们担心，顾客那么少，他们能赚钱吗？ 不过，这儿的人虽然很少，但是都很热情。我早上散步的时候，会碰见一些跑步的人，他们几乎都会跟我说“嗨”，有的看我是中国人，还用中文说“你好”呢。 让我吃惊的还有这儿的公共汽车司机。他们很有耐心，几乎对每一个乘客都要说“早上好”，我不知道这是不是他们的职业习惯。如果他们在北京、上海开公共汽车，还会不会有这么好的耐心呢？ 我在这儿的学习和生活都非常轻松。早上起来散散步，晚饭以后翻翻报纸，看看电视；有时候来几个朋友，还能一起打打牌，下下棋。 你的签证办得怎么样了？等你来温哥华的时候，我就可以给你当导游了，到时候陪你好好儿走一走，看一看。 我住的地方离学校比较远。现在要去上课了。等我想办法装上中文软件以后，咱们就用电子邮件联系。 祝你身体健康，万事如意！ 林娜
3-7	马克：小红、有件事儿想麻烦你一下儿。 白小红：太阳从西边出来了！平时都是我麻烦你，今天你怎么麻烦起我来了？ 马克：我真的有事儿要请你帮忙。 白小红：什么事儿？说来听听。 马克：我打算九月份到中国学习汉语。 白小红：好啊，去哪儿学？上海还是北京？ 马克：还没有决定。我觉得这两个地方都挺好，所以打算先到北京学上半年，然后再到上海学上半年。 白小红：真是一个好主意，我怎么就想不出来呢。我知道了，你想让我教你说汉语。放心吧，从今天开始，我一天教你一句，这样坚持下去，到九月份你就能説不少了。 马克：你一定会是一位很好的老师。不过，我现在最需要一个中文名字，一个真正的中国名字，听起来不像外国人的那种。我听说中国人的名字根有讲究。 白小红：有的有讲究，有的没有。像毛泽东的“泽东”很有讲究，意思是“给东方人带来幸福”；可是邓小平的“小平”，我就说不出来有什么讲究。让我想想，你姓Maxwell，马，叫什么好呢？就叫马克思吧。 马克：马一克一思？很好，我就叫马克思。 白小红：跟你开玩笑呢。你不能叫马克思，因为已经有一个外国人叫马克思了，而且是个名人。提起他来，中国人几乎没有不知道的。 马克：谁？他能叫马克思，我也能叫马克思。 白小红：就是Karl Marx，他已经去世一百多年了。 马克：那我叫马克思就更没有问题了。 白小红：还是有问题。你想，要是你的中国朋友跟家里人说，明天要去见马克思，那非把他家里人吓出病来不可。 马克：为什么？ 白小红：因为“去见马克思”和“去见上帝”的意思差不多。 马克：那我不叫马克思了。你再帮我想想吧。 白小红：看我能不能想出来。……有了，你就叫马克伟吧，伟大的伟！
3-7	中国人取名字很有讲究。因为名字一般都是父母给孩子取的，哪家的父母不希望自己的孩子将来有出息呢？ 要说取名字，讲究可多了。首先得叫起来顺口，听起来顺耳。男孩子的名字得响亮些，比如“刚”啊、“强”啊什么的；女孩子的名字得好听些，比如“美”呀、“丽”呀什么的。除了这些，名字还要有些特殊的意思。 中国同姓的人太多。根据统计，光姓张的就有一亿多人。有些名字你觉得好，别人也觉得好，这样问题就来了：同名同姓的人太多。我有个朋友，他儿子叫王刚，班里有个同学也叫王刚。老师叫一个名字，站起来两个学生。没办法，老师只好把一个叫大王刚，一个叫小王刚。 现在，年轻的父母总是想和别人不一样，所以就给孩子取一个稀奇古怪的名字。他们自己本来也不知道意思，都是从词典上查来的。我朋友的孩子跟我说，他们学校有不少学生认为老师没水平，因为老师上课的时候连学生的名字都叫不出来，得让学生自己告诉老师。你说这能怪老师吗？
3-8	江山：你怎么搞的，不是说好今天八点半见面吗？ 白小红：对不起，让你久等了。我昨天晚上跟几个朋友玩儿到十二点多，早上起得晚了，所以就… 江山：要是你再不来，我就回去了。 白小红：这样吧，今天我带你去看大海，还会看到划船比赛呢。 江山：是吗？这里经常有划船比赛吗？ 白小红：经常有。这儿的人很喜欢水上运动，特别是划船。 江山：我听说中国有一种特别的划船比赛？ 白小红：你说的是中国的龙舟比赛吧？ 江山：是的。龙舟就是像龙一样的船吗？ 白小红：没错儿。不过中国的龙舟比赛一年只有一次。 江山：什么时候比赛？为什么只有一次？ 白小红：比赛在每年的端午节前后。是为了纪念很久以前的一位很有名的诗人，他的名字叫屈原。屈原很爱自己的国家，关心普通人的生活，但是国王不喜欢他。他很伤心，就跳到江河里自杀了。当时有很多人划船去救他。 江山：救上来了吗？ 白小红：没有。因为大家担心屈原的身体会被河里的鱼吃掉，就一起向河里扔米饭。 江山：扔米饭干什么？ 白小红：他们希望鱼吃了米饭，就不要去吃屈原的身体了。这种特殊的米饭后来就变成了人们喜欢吃的粽子。 江山：粽子？ 白小红：是呀。我想这儿的中国城里肯定有粽子。等到了端午节，我请你去吃粽子。 江山：还有几天是端午节？ 白小红：快了，快了，大概还有一个月吧。
3-8	很久以前，杭州有一个叫许仙的小伙子。有一天，许仙路过西湖，突然下起了大雨，许仙看见两位姑娘没带雨伞，就把自己的雨伞给了她们。两位姑娘被许仙的行为感动了，其中穿白衣服的那位姑娘爱上了许仙。后来两个人结了婚，生活很幸福。 有一天，许仙家来了一个老和尚，名字叫法海。法海偷偷地告诉许仙，他的妻子是一条白蛇变的。许仙不相信，法海就让他在端午节那天劝妻子喝酒，看看会发生什么事儿。 端午节中午，许仙按照法海的话劝妻子喝酒。他妻子本来不肯喝，但是许仙一定要她喝。妻子没办法，只喝了一杯就说不舒服，回房间睡了。过了一会儿，许仙走进房间一看，发现床上躺着一条白蛇。 许仙吓坏了，躲进了法海的金山寺。白蛇去金山寺要丈夫，和法海打了起来，她不是法海的对手，最后让法海压在西湖旁边的雷峰塔下面。这个故事后来被改编成了京剧《白蛇传》。
3-9	江山：咱们四个人比赛吧，我和雅克搭档，张老师和丁汉生搭档。 张林：不行，不行。我们两个跟你们两个比赛打篮球，绝对是孔夫子搬家—— 江山：孔夫子是谁？ 张林：就是孔子。他是中国古代最有学问的人。 江山：我想起来了，他是一个有名的教授，他对学生说过一句话，意思好像是“学习要经常练习”。 张林：“学而时习之”。 江山：还有一句，是“有朋友从很远的地方来…………” 张林：我替你说吧，“有朋自远方来，不亦乐乎”。 江山：对，对。有朋友从很远的地方来是让人很高兴的事儿。古代的句子很难，我总是记不住。 张林：别说你了，就是中国人也很难记住。真看不出来，关于孔子的事儿，你知道得还挺多。 江山：您过奖了。刚才您说的孔夫子搬家我就不知道。他经常搬家吗？ 张林：可能吧，我也说不清楚。根据历史记载，他很喜欢旅行，去过很多国家。 江山：那您说孔夫子搬家是什么意思？他搬家不搬家跟我们比赛有什么关系？ 张林：当然有关系。你想一想，孔夫子是中国古代最有学问的人，他家里什么东西最多？ 江山：什么东西最多？是书吧？ 张林：聪明。那时候的书和现在的书不一样，都是用竹子做的，很重很重。 江山：我还是不明白，孔夫子的书又多又重，跟我们比赛有什么关系？ 张林：孔夫子的书是“shu”，比赛输赢的“输” 也是“shu”。你想想，我们和你们比赛打篮球，那还能有什么结果？肯定是“孔夫子搬家——尽是输”啦。
3-9	到上海一个月了，王英带我去逛了很多地方：商店、公园、博物馆。我印象最深的是上海书城。我第一次见到那么大的书店，那么多人在买书。我也忍不住买了几本，还替我女朋友买了一本。 中国朋友告诉我，现在的书很贵。要是在十年前，十块钱能买到一本挺好的书；现在至少要四五十块钱。不过，现在的书贵是贵，可印刷，包装得越来越漂亮，一分钱一分货嘛。 很多中国人喜欢买书。有的是给自己买，也有的是为孩子买，还有的是替朋友买。有些人书买回家以后并不看，就放在书房，摆在那儿给客人看。家里的书越多，就越显得主人有知识，有学问。 但有些人，尤其是大学教授，喜欢在家里看书，不愿意去图书馆。我去过一位姓郑的教授家。除了厨房和卫生间以外，郑教授家几乎每个房间都是书——包括卧室和客厅。书太多了，床就没地方放了，他和妻子就在书上睡觉。要不是亲眼看见，我绝对不相信居然有这样的事儿。
3-10	老王：好久不见、最近在忙什么呢？ 老黄：别提了，想忙也没地方忙了，下岗了。 老王：什么？你也下岗了？ 老黄：是啊，你…… 老王：我上个月就下岗了。 老黄：我今年才四十，你也不到四十五吧？将来可怎么办哪？ 老王：怎么办？想办法找一个新工作啊。反正已经这样了，着急也没有用。我已经开始找了，我就不相信找不到一个适合我的工作。 老黄：你的心态比较我好多了。刚下岗那几天，我快急疯了，而且不敢跟妻子说，怕她着急。 老王：我开始的时候跟你一样，每天还假装去上班呢。后来一想，瞒得过今天，瞒不过明天。就跟她说实话了。 老黄：咱们可真是同病相怜哪。对了，你这几天看新闻了没有？ 老王：我白天忙着找工作，晚上回家还要做家务，哪有时间看新闻哪。有什么好消息吗？ 老黄：电视上说，政府为了帮助下岗工人再就业，办了很多培训班，让咱们去学点新技术。 老王：学会了新技术，咱们就可以找到新工作了。 老黄：对，就是这样。 老王：这可真是一个好消息。那你打算学什么呢？ 老黄：不知道。都几十岁的人了，学得会吗？ 老王：学不会也得学。这样吧，明天咱们一起去报名吧。 老黄：明天？我还没想好学什么呢。 老王：我也不知道学什么好。明天先去报名的地方看看，然后再决定。 老黄：这…… 老王：别犹豫了。明天九点，我在这儿等你，咱们不见不散。 老黄：不见不散。
3-10	钱平平看了看闹钟，还不到五点半。她想再睡一会儿，可是怎么也睡不着。大学毕业都快三个月了，她还没有找到满意的工作。这一次好容易才找到一家挺不错的公司，但竞争这个工作的人肯定不少。 今天的面试一定要成功！她想，干脆早点儿起来，好好准备准备吧。第一次见面，一定要给人留下一个好印象。 穿什么衣服好呢？她先拿起一条连衣裙，觉得不够性感，随手把它扔到了床上；又拿起一条吊带裙，犹豫了一下，还是穿上了。 她又看了看闹钟，才六点半，时间还早。应该再养养神。可是刚一坐下，闹钟就响了起来，把她吓了一跳。她想，还是再化化妆吧。 她拿出了那支一直舍不得用的高级口红，颜色不错，她满意地笑了。可是，“我是去找工作，又不是去见男朋友，还是庄重点儿好。” 最后，她换上了妈妈为她买的套装，自信地出了门。
3-11	马克：假期咱们一起去打工吧！ 林娜：我是想去打工，可是我爸爸妈妈说，女孩子打工太辛苦。他们不但不让我打工，而且还让我利用这段时间多选几门课，多拿几个学分。 马克：那你明年的学费怎么办？ 林娜：向我爸爸妈妈要啊。我爸妈说了，虽然我们家不是很有钱，但是只要我需要，他们就会给我想办法，哪怕贷款也没关系。我要多少他们就会给多少。 马克：那你什么时候还他们？ 林娜：我不还他们，他们也不要我还。你父母给你钱，还要你还吗？ 马克：他们不是“给”我钱，是“借给”我钱。我已经借了我父母三千多块钱了，等我大学毕业找到工作以后，我会很快还他们的。 林娜：真有意思。父母挣钱不就是为了孩子吗？父母的钱就是孩子的钱，分那么清楚干什么？ 马克：我已经二十岁，不是孩子了。父母挣钱也不是为了我，他们有自己的生活。 林娜：我还是不明白。不管什么时候，父母和孩子都是一家人。既然是一家人，就不用分得那么清楚。 马克：那是你们中国人的想法。可是我们觉得，虽然孩子和父母是一家人，但是只要你到了十八岁，你就应该独立。只有在经济上独立了，你才能真正地独立。 林娜：那万一你大学毕业以后找不着好工作，你借他们的钱，还不了怎么办？ 马克：这个问题我还真没想过。不过我想，即使还不了也没关系。 林娜：那还不是一回事儿。 马克：不是一回事儿，是两回事儿。
3-11	今天在路上碰见了马克，他建议我假期去打工。马克告诉我，他的学费一部分是自己打工挣的，一部分是跟父母借的，将来要还给父母。更让我感到不能理解的是，他假期回家住在家里，他爸爸还要他交房租！ 开始的时候我觉得很可笑，怎么会这样？中国的孩子，不论过没过十八岁，只要没结婚，没工作，都可以伸手向父母要钱，谁也不会说“借”。 我记不清从小到大跟父母要过多少钱了，只知道光这两年的学费、生活费就是一笔不小的数目。仔细一想，我吓坏了，要是他们要我还，我还得起吗？ 也许我也应该去打工。于是就给父母打了个电话，可是却被爸爸骂了一顿：“谁要你还了？你还得起吗？再说，你早点把学位读出来，早点找一个好工作，不就什么都有了？” 爸爸的话好像也有道理。他和妈妈从来没想到要我还钱，我要还给他们的也不仅仅是钱。我现在是学生，主要的任务是学习，只要把学习搞好就行了。 算了，打工的事儿，以后再说吧。
3-12	每个国家都有自己的节日，也有自己独特的过节方式。中国也一样。中国最重要的传统节日当然是春节。除了春节以外，中国还有元宵节、中秋节等等。假如把少数民族的节日也加上，中国人几乎天天都在过节。 以前，中国人过节特别喜欢吃：春节吃饺子，元宵节吃元宵，中秋节吃月饼。吃完以后，喝喝茶，聊聊天儿，看看电视，时间很快就过去了。开始的时候在家里吃，后来觉得太麻烦，很多人就到饭店吃。吃多了，慢慢儿就觉得没什么意思，想出去走走、看看。所以旅游就流行起来了：五一去旅游，十一去旅游，就连春节也不再像以前那样呆在家里了。结果呢，火车、汽车，饭店、公园，到处人满为患。 现在，中国开放了，除了传统的节日以外，很多人还非常喜欢过外国人的节日。特别是年轻人，他们过西方人的节日主要是因为好奇。他们最喜欢的西方节日是圣诞节和情人节。在他们看来，西方人的圣诞节过得很浪漫：圣诞树上五颜六色的灯，穿着红衣服的圣诞老人……；情人节也是这样，2月14号那天，花店里非常热闹，小伙子们都想买一枝红玫瑰，送给自己的女朋友。 对于年纪大一些的人来说，传统节日过得太多了，圣诞节和情人节似乎又是年轻人的专利。于是，中国又“进口”了母亲节。到了5月的那一天，孩子们——尤其是女儿们——总会想着给母亲送上些小礼物，比如丝巾、袜子什么的。当然，有的礼物也很贵重。不管是什么样的礼物，母亲们在接受的时候都会笑得合不拢嘴。这样一来，父亲们多少会有些失落。可是，没过多久，商店的门前出现了这样的广告：别忘了你父亲！于是，中国也有了父亲节。 节日越来越多，过节的方式也变得越来越让人感动。一件小小的礼物其实也算不上什么，可是在某一个特别的时候，常常能使人感受到真挚的情和爱。
4-1	刘天明：明天是星期六，一起去南京玩儿玩儿、怎么样？ 李伟：不行啊，我明天还得加班。 刘天明：周末还加什么班？你已经是大老板了，干吗还那么拼命！ 李伟：我准备再开一家连锁店。 刘天明：还要开一家？我看你真是要钱不要命。太不会享受了生活了。你呢，老赵，你也加班？ 赵学东：我倒是想加班，可没地方加。 刘天明：怎么啦，又被老板炒鱿鱼了？ 赵学东：不，这次不是老板炒我，是我炒了老板。 刘天明：你不是挺喜欢那个工作吗？再说，你的工作也很有意思呀。 赵学东：喜欢是喜欢，工作也确实很有意思，可是收入太低了。老刘，你为什么老是呆在学校里，我真弄不明白，你们老师的工资不高啊。 李伟：是呀，到我的公司来吧，我让你去新开的连锁店当经理，工资肯定比你现在高。 刘天明：谢谢，不用了，我的想法和你们不同。 李伟：怎么不同？ 刘天明：我对当经理不感兴趣，我认为还是当老师好。
4-1	你为什么工作？有人说为了生活，不工作就没有收入；也有人说不为什么，人就应该工作。那你为什么努力工作？这个问题的答案就多了。 复旦大学市场调查中心曾在北京、上海、广州这三个城市进行了一次调查，其结果是：35.7%的城市居民努力工作是为了增加工资收入；18.1%的人努力工作是为了发挥自己的能力；7.7%的人努力工作是因为对自己的工作感兴趣；5.6%的人努力工作是为了给国家多做贡献；4.8%的人努力工作是为了自己能当老板；只有3.3%的人是为了给更多的人服务；还有24.8%的人没有选择。 北京是中国的首都。三个城市中，北京选择为国家多做贡献的人最多，选择为了增加收入的人最少，选择为别人服务的人也是最少的。 上海是中国受西方影响最大的城市，选择为增加收入而努力工作的人比例最高，但是，选择为自己能当老板而努力工作的人比例却最低。 跟上海一样，广州人选择为增加收入而努力工作的比例也是最高的。广州可以说是中国南方最有影响的城市之一，广州人的商品意识比中国别的地方的人都强。选择为自己当老板而努力工作的广州人是三个城市中比例最高的，选择为自己的兴趣而努力工作的广州人在三个城市中比例最低。看来，在一个商品化的城市里，金钱比兴趣重要得多。
4-2	李伟：天明！ 刘天明：是李伟呀，你好、你好！ 李伟：你好，我还以为旁边会坐着位靓女呢，没想到是你。 刘天明：让你失望了吧。 季備：哪儿的活。你回国以后我们就见过一次。听说你当官儿了、感觉如何？ 刘天明：校长算什么官儿啊，头疼得很！ 李伟：怎么回事？ 刘天明：最近単位在搞改革，行政人員太多了。得让一些人下岗。难哪！ 李伟：这有什么难？让谁下岗还不是由你决定？你说让谁下岗，谁就得下岗。 刘天明：我们跟你们不一样。你是老板，想炒谁的鱿鱼就炒谁的鱿鱼。我不行。今天这个来找，明天那个来找，都不愿意下岗。 李伟：你别理他们不就完了？ 刘天明：不理怎么行？老领导、老同事，亲威朋友都来说情，能不给面子吗？ 李伟：那倒也是。这是件得罪人的事。 刘天明：是啊，处理人际关系比搞专业难多了。我真想辞职。
4-2	有位父亲，在一家公司工作。老板每天都要给他布置许多任务。白天做不完，晚上回到家里还要加班。 他常常说：“我真想辞职！”但是，他并没有那样做。 一天晚上，吃完饭以后，他像平时一样开始加班。 他三岁的女儿走过来，非要爸爸陪她玩儿不可。他没办法，忽然看到桌子上放着一本过了期的杂志，打开的那一页正好是一张世界地图，于是，他就把地图撕成小碎片，交给女儿，说：“孩子，你去把这张世果地图拼起来，如果拼对了，我就陪你玩儿。” 这位父亲本来想给女儿出难题，因为他知道女儿才三岁，刚上幼儿园，不可能知道世界地图是怎么回事。但是，只过了一会儿，女儿就把一张破碎的世界地图拼好了。他很惊讶，就问女儿： “幼儿园老师教过你怎么拼世界地图吗？” “没有。” “那你是怎么拼的？” 女儿笑着说：“你看看反面，像不像妈妈？”原来，世界地图的反面是一个电影明星的照片。小女孩看到的是人，不是世界地图。当她把照片拼好以后，问题当然也就轻而易举地解决了。 其实，世界上很多问题都是人的问题，人的问题解决了，别的问题也就好办多了。
4-3	刘奶奶：张大妈，带孙子玩儿哪。 张大妈：是刘奶奶呀。（对孩子说）叫奶奶。 孩子：奶奶好！ 刘奶奶：瞧，这孩子可真讨人喜欢。张大妈，您真有福气呀。 张大妈：有什么福气呀？受罪的命。三个儿子给我生了俩孙子，一个孙女儿。都让我一个人带，实在没办法。 刘奶奶：您身体好啊。您看我吧，不是这儿疼，就是那儿不舒服。儿女们关心我，不让我带孙子孙女儿。 张大妈：我这身体吧，十年以前是挺好，现在不行了，一躺下就不想再爬起来。 刘奶奶：您太累了。这是您最小的孙子吧？等他上了幼儿园、您就別管了、跟我一起上老年大学去。 张大妈：老年大学？这么大年纪了还上什么大学？ 刘奶奶：上着玩儿呗。 张大妈：老年大学里都能学些什么呀？ 刘奶奶：多啦。跳舞、画画儿。唱京剧、学书法。想学什么就学什么。哎呀、我得走了，我老伴儿还在等着我呢。 张大妈：（对孩子说）跟奶奶再见。 孩子：奶奶再见！
4-3	一天上午，一对六十多岁的夫妻来法院要求离婚。我想，夫妻在一起几十年都过来了，还离什么婚哪。 一问才知道，原来他们结婚还不到一年，离婚的理由是感情不好。但是两位老人看对方的时候，眼神都很温柔。我劝他们回去再考虑考虑。 那天下午，老先生的几个儿女找上门来，一听说我是负责这个案子的法官，马上就把我围住，说了很多话，意思只有一个：让他们的父亲离婚。我告诉他们，离婚是夫妻两个人自己的事，应该由他们自己决定。 第二天，两位老人又来了。这一次他们一定要离婚，我只好同意。签字的时候，我发现他们俩都很伤心。我更不明白了，感情这么好，为什么还要离婚？ 一个月以后，我在公园里又看见了那两位老人。老先生告诉我，他们又复婚了。我吃了一惊，就问他为什么。原来，老先生有一些钱，在市中心还有一套房子，每个月可以得到一笔租金。儿女们早就在想怎么分他的遗产了。老人的再婚让他们很失望，他们不想让别人分走父亲的遗产，所以就天天和父亲吵架。实在没办法，两位感情很好的老人只好离婚。离婚以后，老先生把财产都分好了，儿女们才同意他们俩复婚。 说完，两位老人走了，我站在那儿，呆了很久。
4-4	高一飞：我给你们介绍一下。这位是我的法国朋友马力。这位是赵校长。 赵明：您好！ 马力：您好！ 高一飞：赵校长，马力对您办学校的事很感兴趣，想请您详细介绍介绍。 赵明：好，好，好。欢迎你们光临指导！ 马力：我以前听说过“希望小学”，但全部都在农村，您怎么把希望小学办到城里来了？ 赵明：是这样的，我这所小学和您说的不一样。您说的那种希望小学有很多人捐款，我这所小学只有我一个人投资。最近几年，我们县来上海打工的人一年比一年多，很多人把孩子也带来了，这些孩子来了以后就不上学了。我觉得孩子不上学将来就没有希望，这对孩子的成长非常不利。于是就办了这所小学。 马力：您办这所小学还顺利吗？ 赵明：不太顺利，有不少困难。 马力：是没有学生吗？ 赵明：不，学生多的是、有好几个班呢。我最大的困难是缺少老师和教室。我们现在有80多个学生，但是只有3个老师，2个教室。当然，最大的因难也可以说是缺少资金。我不能给老师更高的工资，也租不起更多的教室。 马力：我很想帮助您，可惜我不是大老板。
4-4	吃晚饭的时候，儿子低着头，有点儿难为情地说：“爸爸，老师让您到学校去一趟”。 我小的时候，老师家访是很普通的事，现在想起来还觉得很亲切。老师坐在沙发上，爸爸妈妈坐在旁边，我躲在房间里听他们谈话。现在老师忙，请家长去见个面，已经算是不错了。 我猜想肯定是儿子又惹老师生气了。老师有请，不能不去。 推开老师办公室的门，看见四个年轻女老师坐着。儿子的老师见我进来，点了点头，也不让座，我只好站着。 老师说我儿子上课的时候吃东西，和女同学说话等等。我听了听，没什么特别不好的事，悬着的一颗心总算放了下来，感觉轻松了很多。 “你一定要好好儿管管你儿子的那张嘴，还有半年就要考中学了，再这样下去，他肯定考不上好中学。考不上好中学，将来肯定考不上好大学。” 我一边听，一边点头。但老师的最后一句话让我觉得很不舒服： “他目前是倒数第三名，后两名的父母都离婚了。” 我先说了些感谢老师的话，然后又说：“如果那两个孩子的家长复婚，我儿子肯定是倒数第一名。” 老师们听了我的话，都瞪大了眼睛，莫名其妙地看着我，没有说话。
4-5	营业员：先生，这是您的电话号码。明天我们会派人给您家装电活。 赵学东：1-5-4-9-0-5-1-4,5-1-4，小姐，能不能给我换个号码？ 营业员：为什么？ 赵学东：你看，5-1-4，我要死，中了这个“彩”，我也太不吉利了。 营业员：对不起，我们这是电脑排号，不能随便更改。 赵学乐：就改一个数，把4换成8，5-1-8，我要发，多好。 营业员：真抱歉，518还没到呢！ 赵学东：那我不要这个号码了，我就在这儿等518。 营业员：不行，这个号你不要，别人也不要，那怎么办？ 赵学东：怎么办我不管，反正我不要这个号码。 营业员：你不要这个，我也不能给你别的号码。 赵学东：你……！ 营业员：我怎么啦？你这个人怎么这么迷信。我有一个朋友，上次买了张彩票，号码是511888，他说一定会中大奖、发大财，结果怎么样？什么奖也没中。我看你拉倒吧，什么发不发的。 赵学东：你懂什么，不发也不能死呀！
4-5	根据不完全统计，从1987年到现在，中国已经发行了1000多亿元人民币彩票。对于月收入一般在2000元左右的上海人来说，500万大奖可以说是一个天文数字。 您是否买过彩票？是否也曾经梦想过自己会中头彩？假若您中了500万大奖，您会怎么花？《新民周刊》对这些问题做了一次调查。 大部分上海人都曾买过彩票，从来不买的人只有极少数。买彩票时有没有想过中奖？回答是当然想过，不想中奖买彩票干什么？ 中奖是每个人的愿望，但能中奖的毕竟是少数人。根据调查，四分之一的人从来没有中过奖，多数人只中过最小的奖。在2984名被调查者中，没有一个人中过500万的大奖。 如果中了500万元，您最想干的是什么？《新民周刊》提供了出国旅游、购车或者买房、开公司创业等6个选择。不管是男人还是女人，大多数人最想干的事情都是购车或者买房。 选择最想开公司创业的男性差不多有三成，女性只有一成多一点儿；有两成多的女性选择出国旅游，男性却不到一成。看来，女性比男性更希望看看外面的世界。 500万元大奖是否一定意味着幸福呢？只有少数被调查者给了肯定的回答，大多数人都认为不一定；还有一些人认为大奖不但不能带来幸福，反而还会带来很多麻烦。虽然如此，他们还是希望自己的“白日梦" 能够实现。
